"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
2,3,15,53,103,271,558,1086,1636,1806,1433,847,407,213,90,32,22,3,3,2,1
1,2,11,37,76,178,397,719,1269,1696,1655,1199,694,409,193,96,42,27,7,4,4
3,12,30,50,132,260,604,1045,1586,1723,1394,917,478,242,101,56,31,14,7,1,2
2,6,16,28,71,161,360,743,1310,1693,1655,1193,690,334,162,80,45,25,16,5,2
6,7,11,23,38,122,312,672,1224,1667,1751,1278,790,411,192,117,46,18,10,7,7
3,3,6,21,46,104,256,492,903,1460,1773,1593,984,512,270,108,58,26,7,6,2
1,1,1,5,13,27,77,172,382,745,1229,1647,1656,1193,739,411,216,105,49,24,15
3,3,10,40,85,163,351,702,1247,1608,1629,1247,793,421,208,115,42,32,9,6,1
1,4,2,2,4,10,35,104,247,511,983,1547,1728,1481,942,524,296,130,67,38,19
3,7,14,27,65,198,406,801,1336,1729,1637,1107,670,352,187,79,42,14,10,4,5
2,10,13,38,98,238,489,933,1470,1735,1474,1037,544,276,151,68,36,17,10,6,3
1,13,32,53,144,321,664,1250,1761,1819,1209,712,332,194,94,35,20,8,4,0,0
3,9,26,72,183,440,824,1448,1754,1662,1126,583,283,138,80,37,21,13,2,3,2
2,3,1,4,3,22,55,132,282,553,1062,1567,1787,1340,884,461,236,126,63,27,8
3,3,3,12,45,144,330,688,1170,1580,1679,1302,873,484,207,114,48,14,10,3,3
5,19,35,77,172,390,857,1377,1741,1572,1091,658,327,173,86,32,19,8,3,1,1
1,7,16,40,92,179,363,731,1186,1680,1662,1267,783,382,224,119,41,24,15,3,3
1,4,9,29,77,180,381,841,1414,1768,1700,1139,611,323,138,83,34,21,12,9,2
3,10,16,20,33,83,180,388,730,1293,1635,1682,1113,696,380,199,96,43,26,11,6
3,7,7,20,28,95,205,408,947,1482,1709,1609,1077,578,301,131,71,21,14,1,0
4,2,10,24,68,110,232,501,894,1501,1880,1585,1002,491,239,90,40,19,12,8,3
5,4,4,15,45,102,301,618,1105,1663,1752,1392,895,470,217,118,48,24,18,5,4
3,7,31,55,131,270,593,981,1456,1703,1434,966,551,284,133,57,29,11,4,1,0
3,8,3,0,1,4,6,11,33,60,165,356,698,1286,1760,1736,1220,712,311,181,87
2,1,6,6,7,24,33,72,187,385,735,1299,1651,1662,1181,686,374,189,109,57,38
2,2,1,7,5,11,23,53,141,336,712,1224,1736,1670,1235,740,445,199,95,45,20
2,1,2,3,2,6,13,35,69,169,364,721,1263,1682,1745,1197,710,365,176,73,35
6,13,31,73,161,373,704,1241,1718,1767,1196,713,414,177,100,29,18,9,3,5,1
2,4,8,22,67,129,318,637,1097,1594,1718,1318,836,491,249,117,51,32,16,7,1
1,5,3,12,28,73,139,333,617,1177,1705,1712,1273,773,413,191,108,46,31,26,6
2,4,15,21,42,105,195,439,868,1364,1765,1505,1080,603,320,157,87,37,19,9,5
12,10,51,88,171,373,736,1312,1891,1678,1226,603,363,125,81,25,22,8,2,2,1
4,3,9,19,11,26,58,156,342,747,1364,1766,1687,1220,659,348,179,86,37,23,3
1,17,41,80,152,408,800,1413,1758,1616,1154,651,327,156,70,40,15,5,4,4,1
